source_file,old_post_id,old_url,old_slug,old_title,old_content_type,new_content_type,category,subcategory,original_publish_date,original_modified_date,word_count,media_count,internal_links,external_links,seo_title,meta_description,potential_target_url,existing_new_equivalent,content_quality_score,historical_value_score,medical_review_required,recommended_action,notes
../output/markdown/clinic__hair-transplant-in-berhampur.md,,https://www.radianceclinics.com/hair-transplant-in-berhampur/,hair-transplant-in-berhampur,Hair Transplant in Berhampur,page,LOCATION,Hair Transplant,clinic,2022-08-20,,451,,0,0,,,/hair-transplant-bhubaneswar,yes,90,77,yes,REDIRECT,source bucket GOOD; no automated medical-risk phrase flag; legacy city page does not establish a clinic branch
../output/markdown/clinic__hair-regrowth-treatment.md,,https://www.radianceclinics.com/hair-regrowth-treatment/,hair-regrowth-treatment,Hair Regrowth Treatment,page,TREATMENT,Hair Loss & Scalp,clinic,2023-02-23,,429,,0,0,,,/concerns/hair-loss-scalp/hair-loss,yes,90,76,yes,EXPAND,source bucket GOOD; medical/editorial flags: \bprescri(?:be|ption)\b
../output/markdown/clinic__laser-hair-removal-radiance.md,,https://www.radianceclinics.com/laser-hair-removal-radiance/,laser-hair-removal-radiance,Laser Hair Removal,page,TREATMENT,Laser Hair Reduction,clinic,2023-08-09,,610,,0,0,,,/laser-hair-removal-bhubaneswar,yes,90,84,yes,EXPAND,source bucket GOOD; no automated medical-risk phrase flag
../output/markdown/clinic__mole-wart-removal.md,,https://www.radianceclinics.com/mole-wart-removal/,mole-wart-removal,Mole & Wart Removal,page,CONCERN,General Skin Concerns,clinic,2023-08-11,,565,,0,0,,,/concerns/other-skin-concerns/moles-and-warts,yes,90,82,yes,EXPAND,source bucket GOOD; medical/editorial flags: \bpainless\b | \bmole\b
../output/markdown/skin__best-treatment-for-a-healthy-hair-and-skin.md,,https://www.radianceclinics.com/post/best-treatment-for-a-healthy-hair-and-skin/,best-treatment-for-a-healthy-hair-and-skin,Best Treatment For a Healthy Hair and Skin,post,TREATMENT,Skin Health,skin,2021-12-07,,614,,0,0,,,/knowledge/best-treatment-for-a-healthy-hair-and-skin,no,90,84,yes,REWRITE,source bucket GOOD; medical/editorial flags: \bcure[sd]?\b
../output/markdown/clinic__hair-loss-and-hair-thinning.md,,https://www.radianceclinics.com/post/hair-loss-and-hair-thinning/,hair-loss-and-hair-thinning,Hair Loss and Hair Thinning,post,CONCERN,Hair Loss & Scalp,clinic,2022-02-04,,903,,0,0,,,/concerns/hair-loss-scalp/hair-loss,yes,90,92,yes,EXPAND,source bucket GOOD; medical/editorial flags: \bpregnan(?:cy|t)\b
../output/markdown/skin__when-you-need-to-be-at-the-best-skin-clinic.md,,https://www.radianceclinics.com/post/when-you-need-to-be-at-the-best-skin-clinic/,when-you-need-to-be-at-the-best-skin-clinic,When You Need To Be At The Skin Clinic,post,DOCTOR_ANSWER_CANDIDATE,Skin Health,skin,2022-11-21,,452,,0,0,,,/knowledge/when-you-need-to-be-at-the-best-skin-clinic,no,90,77,yes,CONVERT_TO_QA,source bucket GOOD; medical/editorial flags: \bprescri(?:be|ption)\b | \b(botox|filler|injectable)\b | \bweight loss\b
../output/markdown/clinic__how-to-ensure-the-success-of-hair-transplant-having-it-at-a-hair-transplant.md,,https://www.radianceclinics.com/post/how-to-ensure-the-success-of-hair-transplant-having-it-at-a-hair-transplant/,how-to-ensure-the-success-of-hair-transplant-having-it-at-a-hair-transplant,How to ensure the success of hair transplant having it at a hair transplant,post,DOCTOR_ANSWER_CANDIDATE,Hair Transplant,clinic,2022-09-23,,452,,0,0,,,/hair-transplant-bhubaneswar,yes,90,77,yes,CONVERT_TO_QA,source bucket GOOD; medical/editorial flags: \bpermanent(?:ly)?\b
../output/markdown/skin__the-best-acne-scar-treatments-to-boost-your-confidence.md,,https://www.radianceclinics.com/post/the-best-acne-scar-treatments-to-boost-your-confidence/,the-best-acne-scar-treatments-to-boost-your-confidence,The Best Acne Scar Treatments to Boost Your Confidence,post,TREATMENT,Acne Scars,skin,2023-05-24,,487,,0,0,,,/acne-scar-treatment-bhubaneswar,yes,90,79,yes,EXPAND,source bucket GOOD; medical/editorial flags: \b(botox|filler|injectable)\b
../output/markdown/clinic__specialized-wart-removal-services-for-flawless-skin.md,,https://www.radianceclinics.com/post/specialized-wart-removal-services-for-flawless-skin/,specialized-wart-removal-services-for-flawless-skin,Specialized Wart Removal Services for Flawless Skin,post,CONCERN,General Skin Concerns,clinic,2023-07-25,,479,,0,0,,,/concerns/other-skin-concerns/moles-and-warts,yes,90,78,yes,EXPAND,source bucket GOOD; medical/editorial flags: \bguarantee[sd]?\b | \bflawless\b | \bpainless\b
../output/markdown/hair__why-radiance-skin-and-hair-clinic-is-the-ideal-choice-for-hair-loss-treatment.md,,https://www.radianceclinics.com/post/why-radiance-skin-and-hair-clinic-is-the-ideal-choice-for-hair-loss-treatment/,why-radiance-skin-and-hair-clinic-is-the-ideal-choice-for-hair-loss-treatment,Why Radiance Skin and Hair Clinic is the Ideal Choice for Hair Loss Treatment,post,DOCTOR_ANSWER_CANDIDATE,Hair Loss & Scalp,hair,2023-11-11,,452,,0,0,,,/concerns/hair-loss-scalp/hair-loss,yes,90,77,yes,CONVERT_TO_QA,source bucket GOOD; no automated medical-risk phrase flag
../output/markdown/clinic__acne-check-peel-your-comprehensive-guide-to-clearer-skin.md,,https://www.radianceclinics.com/post/acne-check-peel-your-comprehensive-guide-to-clearer-skin/,acne-check-peel-your-comprehensive-guide-to-clearer-skin,Acne Check Peel: Your Comprehensive Guide to Clearer Skin,post,TREATMENT,Acne,clinic,2023-12-12,,460,,0,0,,,/concerns/acne/acne,yes,90,78,yes,EXPAND,source bucket GOOD; medical/editorial flags: \bno downtime\b
../output/markdown/hair__tackling-hair-loss-a-guide-to-top-notch-hair-transplant-clinics.md,,https://www.radianceclinics.com/post/tackling-hair-loss-a-guide-to-top-notch-hair-transplant-clinics/,tackling-hair-loss-a-guide-to-top-notch-hair-transplant-clinics,Tackling Hair Loss: A Guide to Top-notch Hair Transplant Clinics,post,TREATMENT,Hair Transplant,hair,2024-02-10,,546,,0,0,,,/hair-transplant-bhubaneswar,yes,90,81,yes,EXPAND,source bucket GOOD; medical/editorial flags: \bpermanent(?:ly)?\b
../output/markdown/clinic__can-you-reverse-signs-of-ageing-with-anti-ageing-treatment.md,,https://www.radianceclinics.com/post/can-you-reverse-signs-of-ageing-with-anti-ageing-treatment/,can-you-reverse-signs-of-ageing-with-anti-ageing-treatment,Can You Reverse Signs of Ageing with Anti Ageing Treatment,post,CLINIC_INFO,Clinic & Doctor,clinic,2025-05-31,,694,,0,0,,,/about,yes,90,87,no,EXPAND,source bucket GOOD; medical/editorial flags: \b(botox|filler|injectable)\b
../output/markdown/clinic__where-can-i-get-painless-wart-removal-treatment.md,,https://www.radianceclinics.com/post/where-can-i-get-painless-wart-removal-treatment/,where-can-i-get-painless-wart-removal-treatment,Where can I Get Painless Wart Removal Treatment,post,DOCTOR_ANSWER_CANDIDATE,General Skin Concerns,clinic,2025-07-17,,595,,0,0,,,/concerns/other-skin-concerns/moles-and-warts,yes,90,83,yes,CONVERT_TO_QA,source bucket GOOD; medical/editorial flags: \bpainless\b
../output/markdown/hair__what-common-mistakes-can-make-your-hair-transplant-more-expensive.md,,https://www.radianceclinics.com/post/what-common-mistakes-can-make-your-hair-transplant-more-expensive/,what-common-mistakes-can-make-your-hair-transplant-more-expensive,What Common Mistakes Can Make Your Hair Transplant More Expensive?,post,DOCTOR_ANSWER_CANDIDATE,Hair Transplant,hair,2026-01-30,,588,,0,0,,,/hair-transplant-bhubaneswar,yes,90,83,yes,CONVERT_TO_QA,source bucket GOOD; medical/editorial flags: \bpermanent(?:ly)?\b
../output/markdown/clinic__is-hair-restoration-worth-the-investment.md,,https://www.radianceclinics.com/post/is-hair-restoration-worth-the-investment/,is-hair-restoration-worth-the-investment,Is Hair Restoration Worth the Investment?,post,CLINIC_INFO,Clinic & Doctor,clinic,2026-02-28,,520,,0,0,,,/about,yes,90,80,no,EXPAND,source bucket GOOD; medical/editorial flags: \bpermanent(?:ly)?\b
../output/markdown/clinic__common-myths-about-laser-hair-removal-treatments.md,,https://www.radianceclinics.com/post/common-myths-about-laser-hair-removal-treatments/,common-myths-about-laser-hair-removal-treatments,Common Myths about Laser Hair Removal Treatments,post,TREATMENT,Laser Hair Reduction,clinic,2026-04-17,,556,,0,0,,,/laser-hair-removal-bhubaneswar,yes,90,82,yes,EXPAND,source bucket GOOD; medical/editorial flags: \bpermanent(?:ly)?\b
../output/markdown/clinic__hair-transplant-in-puri.md,,https://www.radianceclinics.com/hair-transplant-in-puri/,hair-transplant-in-puri,Hair Transplant in Puri,page,LOCATION,Hair Transplant,clinic,2022-08-08,,418,,0,0,,,/hair-transplant-bhubaneswar,yes,85,73,yes,REDIRECT,source bucket GOOD; medical/editorial flags: \bguarantee[sd]?\b | \bprescri(?:be|ption)\b; legacy city page does not establish a clinic branch
../output/markdown/hair__hair-transplant-in-raipur.md,,https://www.radianceclinics.com/hair-transplant-in-raipur/,hair-transplant-in-raipur,Hair Transplant in Raipur,page,LOCATION,Hair Transplant,hair,2023-02-10,,441,,0,0,,,/hair-transplant-bhubaneswar,yes,85,74,yes,REDIRECT,source bucket GOOD; medical/editorial flags: \bpainless\b; legacy city page does not establish a clinic branch
../output/markdown/hair__hair-transplant-in-cuttack.md,,https://www.radianceclinics.com/hair-transplant-in-cuttack/,hair-transplant-in-cuttack,Hair Transplant in Cuttack,page,LOCATION,Hair Transplant,hair,2023-02-10,,501,,0,0,,,/hair-transplant-bhubaneswar,yes,85,76,yes,REDIRECT,source bucket GOOD; no automated medical-risk phrase flag; legacy city page does not establish a clinic branch
../output/markdown/clinic__hair-transplant-in-jajpur.md,,https://www.radianceclinics.com/hair-transplant-in-jajpur/,hair-transplant-in-jajpur,Hair Transplant in Jajpur,page,LOCATION,Hair Transplant,clinic,2023-02-10,,535,,0,0,,,/hair-transplant-bhubaneswar,yes,85,78,yes,REDIRECT,source bucket GOOD; medical/editorial flags: \bprescri(?:be|ption)\b; legacy city page does not establish a clinic branch
../output/markdown/clinic__laser-lipolysis-treatment.md,,https://www.radianceclinics.com/laser-lipolysis-treatment/,laser-lipolysis-treatment,Laser Lipolysis Treatment,page,TREATMENT,Skin Health,clinic,2023-02-23,,430,,0,0,,,/skin-clinic-bhubaneswar,yes,85,73,yes,EXPAND,source bucket GOOD; no automated medical-risk phrase flag
../output/markdown/clinic__weight-loss-radiance.md,,https://www.radianceclinics.com/weight-loss-radiance/,weight-loss-radiance,Weight Loss Management,page,CLINIC_INFO,Clinic & Doctor,clinic,2023-08-11,,525,,0,0,,,/about,yes,85,77,no,EXPAND,source bucket GOOD; medical/editorial flags: \bweight loss\b
../output/markdown/clinic__hair-loss-treatments.md,,https://www.radianceclinics.com/hair-loss-treatments/,hair-loss-treatments,Hair Loss Treatments,page,TREATMENT,Hair Loss & Scalp,clinic,2023-08-13,,533,,0,0,,,/concerns/hair-loss-scalp/hair-loss,yes,85,77,yes,EXPAND,source bucket GOOD; medical/editorial flags: \bpermanent(?:ly)?\b | \bpregnan(?:cy|t)\b
../output/markdown/clinic__hair-transplantation.md,,https://www.radianceclinics.com/hair-transplantation/,hair-transplantation,Hair Transplant,page,TREATMENT,Hair Transplant,clinic,2023-08-15,,619,,0,0,,,/hair-transplant-bhubaneswar,yes,85,81,yes,EXPAND,source bucket GOOD; no automated medical-risk phrase flag
../output/markdown/clinic__high-density-hair-transplant.md,,https://www.radianceclinics.com/high-density-hair-transplant/,high-density-hair-transplant,High Density Hair Transplant,page,TREATMENT,Hair Transplant,clinic,2023-08-15,,576,,0,0,,,/hair-transplant-bhubaneswar,yes,85,79,yes,EXPAND,source bucket GOOD; no automated medical-risk phrase flag
../output/markdown/clinic__beard-mustache-transplant.md,,https://www.radianceclinics.com/beard-mustache-transplant/,beard-mustache-transplant,Beard & Mustache Transplant,page,CLINIC_INFO,Clinic & Doctor,clinic,2023-08-18,,557,,0,0,,,/concerns/hair-transplant/beard-transplant,yes,85,78,no,EXPAND,source bucket GOOD; no automated medical-risk phrase flag
../output/markdown/clinic__body-hair-removal.md,,https://www.radianceclinics.com/post/body-hair-removal/,body-hair-removal,Body Hair Removal,post,ARTICLE,Laser Hair Reduction,clinic,2022-12-15,,537,,0,0,,,/laser-hair-removal-bhubaneswar,yes,85,78,yes,EXPAND,source bucket GOOD; medical/editorial flags: \bpainless\b
../output/markdown/clinic__best-dermatologist-for-acne-an-treatment.md,,https://www.radianceclinics.com/post/best-dermatologist-for-acne-an-treatment/,best-dermatologist-for-acne-an-treatment,What to Expect when Visiting a Dermatologist for an Acne Treatment,post,DOCTOR_ANSWER_CANDIDATE,Acne,clinic,2022-11-15,,464,,0,0,,,/concerns/acne/acne,yes,85,75,yes,CONVERT_TO_QA,source bucket GOOD; medical/editorial flags: \bprescri(?:be|ption)\b
../output/markdown/clinic__the-ideal-clinic-to-have-acne-treatment-in-bhubaneswar-is-radiance-skin-and-hair-clinics.md,,https://www.radianceclinics.com/post/the-ideal-clinic-to-have-acne-treatment-in-bhubaneswar-is-radiance-skin-and-hair-clinics/,the-ideal-clinic-to-have-acne-treatment-in-bhubaneswar-is-radiance-skin-and-hair-clinics,The ideal clinic to have acne treatment in Bhubaneswar is Radiance Skin and Hair Clinics,post,TREATMENT,Acne,clinic,2022-08-01,,469,,0,0,,,/concerns/acne/acne,yes,85,75,yes,EXPAND,source bucket GOOD; no automated medical-risk phrase flag
../output/markdown/clinic__is-it-safe-to-have-a-hair-transplant-in-bhubaneswar-at-radiance-skin-and-hair-clinic.md,,https://www.radianceclinics.com/post/is-it-safe-to-have-a-hair-transplant-in-bhubaneswar-at-radiance-skin-and-hair-clinic/,is-it-safe-to-have-a-hair-transplant-in-bhubaneswar-at-radiance-skin-and-hair-clinic,Is it safe to have a hair transplant in Bhubaneswar at Radiance Skin and Hair Clinic,post,LOCATION,Hair Transplant,clinic,2022-04-24,,455,,0,0,,,/hair-transplant-bhubaneswar,yes,85,74,yes,EXPAND,source bucket GOOD; medical/editorial flags: \bpermanent(?:ly)?\b
../output/markdown/clinic__a-complete-guide-to-know-about-botox-treatment.md,,https://www.radianceclinics.com/post/a-complete-guide-to-know-about-botox-treatment/,a-complete-guide-to-know-about-botox-treatment,A Complete Guide to Know About Botox Treatment in Bhubaneswar,post,TREATMENT,Ageing & Aesthetics,clinic,2022-02-10,,536,,0,0,,,/botox-treatment-bhubaneswar,yes,85,78,yes,EXPAND,source bucket GOOD; medical/editorial flags: \b(botox|filler|injectable)\b
../output/markdown/clinic__how-effective-is-having-laser-hair-removal-in-bhubaneswar.md,,https://www.radianceclinics.com/post/how-effective-is-having-laser-hair-removal-in-bhubaneswar/,how-effective-is-having-laser-hair-removal-in-bhubaneswar,How Effective is Having Laser Hair Removal in Bhubaneswar,post,DOCTOR_ANSWER_CANDIDATE,Laser Hair Reduction,clinic,2023-01-16,,457,,0,0,,,/laser-hair-removal-bhubaneswar,yes,85,74,yes,CONVERT_TO_QA,source bucket GOOD; medical/editorial flags: \bpermanent(?:ly)?\b
../output/markdown/skin__radiance-skin-clinics-your-solution-for-skin-issues.md,,https://www.radianceclinics.com/post/radiance-skin-clinics-your-solution-for-skin-issues/,radiance-skin-clinics-your-solution-for-skin-issues,Radiance Skin Clinics: Your Solution for Skin Issues,post,ARTICLE,Skin Health,skin,2023-02-20,,463,,0,0,,,/knowledge/radiance-skin-clinics-your-solution-for-skin-issues,no,85,75,yes,CONVERT_TO_GUIDE,source bucket GOOD; medical/editorial flags: \bwhiten(?:ing)?\b
../output/markdown/skin__do-not-get-frustrated-having-skin-issues.md,,https://www.radianceclinics.com/post/do-not-get-frustrated-having-skin-issues/,do-not-get-frustrated-having-skin-issues,Do not get frustrated having skin issues – Radiance Skin and Hair Clinics has the solution,post,DOCTOR_ANSWER_CANDIDATE,Skin Health,skin,2023-03-16,,464,,0,0,,,/knowledge/do-not-get-frustrated-having-skin-issues,no,85,75,yes,CONVERT_TO_QA,source bucket GOOD; medical/editorial flags: \bwhiten(?:ing)?\b
../output/markdown/clinic__why-a-hair-wig-is-an-ideal-solution-for-hair-loss.md,,https://www.radianceclinics.com/post/why-a-hair-wig-is-an-ideal-solution-for-hair-loss/,why-a-hair-wig-is-an-ideal-solution-for-hair-loss,Why a hair wig is an ideal solution for hair loss,post,DOCTOR_ANSWER_CANDIDATE,Hair Loss & Scalp,clinic,2023-03-31,,523,,0,0,,,/concerns/hair-loss-scalp/hair-loss,yes,85,77,yes,CONVERT_TO_QA,source bucket GOOD; no automated medical-risk phrase flag
../output/markdown/skin__reasons-to-have-professional-treatment-for-acne.md,,https://www.radianceclinics.com/post/reasons-to-have-professional-treatment-for-acne/,reasons-to-have-professional-treatment-for-acne,Reasons to have Professional Treatment for Acne,post,TREATMENT,Acne,skin,2023-04-12,,519,,0,0,,,/concerns/acne/acne,yes,85,77,yes,EXPAND,source bucket GOOD; medical/editorial flags: \bpermanent(?:ly)?\b | \bprescri(?:be|ption)\b
../output/markdown/clinic__skincare-mythbusters-debunking-common-misconceptions-about-skin-health.md,,https://www.radianceclinics.com/post/skincare-mythbusters-debunking-common-misconceptions-about-skin-health/,skincare-mythbusters-debunking-common-misconceptions-about-skin-health,Skincare Mythbusters: Debunking Common Misconceptions about Skin Health,post,ARTICLE,Skin Health,clinic,2023-06-19,,430,,0,0,,,/knowledge/skincare-mythbusters-debunking-common-misconceptions-about-skin-health,no,85,73,yes,CONVERT_TO_GUIDE,source bucket GOOD; no automated medical-risk phrase flag
../output/markdown/clinic__understanding-male-specific-skin-concerns-expert-insights-and-solutions.md,,https://www.radianceclinics.com/post/understanding-male-specific-skin-concerns-expert-insights-and-solutions/,understanding-male-specific-skin-concerns-expert-insights-and-solutions,Understanding Male-Specific Skin Concerns: Expert Insights and Solutions,post,CONCERN,Pigmentation,clinic,2023-08-02,,476,,0,0,,,/pigmentation-treatment-bhubaneswar,yes,85,75,yes,EXPAND,source bucket GOOD; no automated medical-risk phrase flag
../output/markdown/hair__radiance-skin-and-hair-clinics-your-ideal-destination-for-hair-transplants.md,,https://www.radianceclinics.com/post/radiance-skin-and-hair-clinics-your-ideal-destination-for-hair-transplants/,radiance-skin-and-hair-clinics-your-ideal-destination-for-hair-transplants,Radiance Skin and Hair Clinics: Your Ideal Destination for Hair Transplants,post,TREATMENT,Hair Transplant,hair,2023-10-20,,463,,0,0,,,/hair-transplant-bhubaneswar,yes,85,75,yes,EXPAND,source bucket GOOD; no automated medical-risk phrase flag
../output/markdown/clinic__the-ultimate-guide-to-body-hair-removal-in-odishas-aesthetic-hub.md,,https://www.radianceclinics.com/post/the-ultimate-guide-to-body-hair-removal-in-odishas-aesthetic-hub/,the-ultimate-guide-to-body-hair-removal-in-odishas-aesthetic-hub,The Ultimate Guide to Body Hair Removal in Odisha's Aesthetic Hub,post,ARTICLE,Laser Hair Reduction,clinic,2023-11-16,,441,,0,0,,,/laser-hair-removal-bhubaneswar,yes,85,74,yes,EXPAND,source bucket GOOD; medical/editorial flags: \bpermanent(?:ly)?\b
../output/markdown/skin__discovering-the-best-solutions-for-acne-scar-treatment.md,,https://www.radianceclinics.com/post/discovering-the-best-solutions-for-acne-scar-treatment/,discovering-the-best-solutions-for-acne-scar-treatment,Discovering the Best Solutions for Acne Scar Treatment,post,TREATMENT,Acne Scars,skin,2024-04-13,,419,,0,0,,,/acne-scar-treatment-bhubaneswar,yes,85,73,yes,EXPAND,source bucket GOOD; medical/editorial flags: \bpainless\b
../output/markdown/hair__what-is-the-best-hair-transplant-for-density.md,,https://www.radianceclinics.com/post/what-is-the-best-hair-transplant-for-density/,what-is-the-best-hair-transplant-for-density,What is the best hair transplant for density?,post,DOCTOR_ANSWER_CANDIDATE,Hair Transplant,hair,2024-08-21,,581,,0,0,,,/hair-transplant-bhubaneswar,yes,85,79,yes,CONVERT_TO_QA,source bucket GOOD; no automated medical-risk phrase flag
../output/markdown/clinic__who-is-the-ideal-candidate-for-a-hair-transplant.md,,https://www.radianceclinics.com/post/who-is-the-ideal-candidate-for-a-hair-transplant/,who-is-the-ideal-candidate-for-a-hair-transplant,Who is the Ideal Candidate for a Hair Transplant?,post,DOCTOR_ANSWER_CANDIDATE,Hair Transplant,clinic,2024-10-17,,403,,0,0,,,/hair-transplant-bhubaneswar,yes,85,72,yes,CONVERT_TO_QA,source bucket GOOD; medical/editorial flags: \bcure[sd]?\b | \bmiracle\b
../output/markdown/clinic__laser-vs-waxing-which-hair-removal-method-is-right-for-you.md,,https://www.radianceclinics.com/post/laser-vs-waxing-which-hair-removal-method-is-right-for-you/,laser-vs-waxing-which-hair-removal-method-is-right-for-you,Laser vs. Waxing: Which Hair Removal Method is Right for You?,post,TREATMENT,Laser Hair Reduction,clinic,2025-03-14,,604,,0,0,,,/laser-hair-removal-bhubaneswar,yes,85,80,yes,EXPAND,source bucket GOOD; medical/editorial flags: \bpermanent(?:ly)?\b
../output/markdown/hair__what-causes-hair-loss-and-how-it-can-be-treated.md,,https://www.radianceclinics.com/post/what-causes-hair-loss-and-how-it-can-be-treated/,what-causes-hair-loss-and-how-it-can-be-treated,What Causes Hair Loss and How It Can Be Treated,post,DOCTOR_ANSWER_CANDIDATE,Hair Loss & Scalp,hair,2025-04-19,,778,,0,0,,,/concerns/hair-loss-scalp/hair-loss,yes,85,88,yes,CONVERT_TO_QA,source bucket GOOD; medical/editorial flags: \bpermanent(?:ly)?\b
../output/markdown/clinic__how-effective-are-weight-loss-clinics-for-belly-fat-reduction.md,,https://www.radianceclinics.com/post/how-effective-are-weight-loss-clinics-for-belly-fat-reduction/,how-effective-are-weight-loss-clinics-for-belly-fat-reduction,How Effective Are Weight Loss Clinics for Belly Fat Reduction?,post,CLINIC_INFO,Clinic & Doctor,clinic,2025-04-28,,498,,0,0,,,/about,yes,85,76,no,EXPAND,source bucket GOOD; medical/editorial flags: \bweight loss\b
../output/markdown/clinic__how-many-prp-sessions-are-needed-for-visible-hair-growth.md,,https://www.radianceclinics.com/post/how-many-prp-sessions-are-needed-for-visible-hair-growth/,how-many-prp-sessions-are-needed-for-visible-hair-growth,How Many PRP Sessions Are Needed for Visible Hair Growth,post,DOCTOR_ANSWER_CANDIDATE,Hair Loss & Scalp,clinic,2025-11-27,,433,,0,0,,,/treatments/hair-restoration/prp-gfc-scalp-therapy,yes,85,73,yes,CONVERT_TO_QA,source bucket GOOD; no automated medical-risk phrase flag
