url,content_type,primary_topic,primary_intent,primary_query_theme,secondary_query_themes,location,parent_url,related_urls,conversion_goal,indexable,status
/concerns/pigmentation,concern-hub,Pigmentation concerns,informational,types of facial pigmentation,melasma; sunspots; dark circles; uneven tone,Bhubaneswar,/concerns,/pigmentation-treatment-bhubaneswar;/conditions/pigmentation-melasma,Explore pigmentation guidance,true,published
/concerns/skin-texture,concern-hub,Skin texture concerns,informational,skin texture concerns,pores; rough skin; dullness; fine lines,Bhubaneswar,/concerns,/skin-clinic-bhubaneswar;/knowledge/best-skin-clinic-bhubaneswar,Explore texture guidance,true,published
/concerns/aging-aesthetics,concern-hub,Ageing and aesthetic concerns,informational,facial ageing concerns,laxity; volume loss; expression lines; eye bags,Bhubaneswar,/concerns,/treatments/aesthetic-dermatology;/knowledge/premium-aesthetic-consultation,Explore ageing guidance,true,published
/concerns/laser-hair-reduction,concern-hub,Laser hair reduction questions,informational,laser hair reduction questions,unwanted hair; ingrown hair; dark skin suitability,Bhubaneswar,/concerns,/laser-hair-removal-bhubaneswar;/knowledge/laser-skin-treatments-safety,Explore laser guidance,true,published
/concerns/scars-stretch-marks,concern-hub,Scars and stretch marks,informational,scar and stretch mark concerns,surgical scars; raised scars; injury scars,Bhubaneswar,/concerns,/skin-clinic-bhubaneswar;/knowledge/laser-skin-treatments-safety,Explore scar guidance,true,published
/concerns/other-skin-concerns,concern-hub,Other skin concerns,informational,moles warts redness sweating,moles; warts; rosacea; hyperhidrosis,Bhubaneswar,/concerns,/skin-clinic-bhubaneswar;/knowledge/skin-care-doctor-bhubaneswar,Explore skin guidance,true,published
/doctor-answers,answer-index,Patient hair and skin questions,informational,hair and skin doctor answers,hair transplant questions; acne questions; laser questions,Bhubaneswar,/,/concerns;/knowledge,Find an existing answer,true,published
/conditions,condition-index,Hair and skin concerns,informational,skin and hair conditions,hair loss; acne scars; pigmentation; skin ageing,Bhubaneswar,/,/treatments;/knowledge,Explore concern guidance,true,published
/knowledge,article-index,Patient education,informational,hair skin laser treatment guides,hair restoration guide; laser safety; aesthetic consultation,Bhubaneswar,/,/treatments;/conditions,Read patient guides,true,published
/videos,video-library,Official Radiance videos,informational,Hair transplant skin laser videos,hair loss videos; acne videos; pigmentation videos; treatment explainers,Bhubaneswar,/,/knowledge;/concerns;/treatments,Watch official patient education,true,published
/knowledge/hair-loss-causes-and-assessment,article,Hair loss assessment,informational,hair loss causes and assessment,shedding triggers; scalp examination; pattern hair loss,Bhubaneswar,/knowledge,/concerns/hair-loss-scalp/hair-loss;/treatments/hair-restoration/advanced-hair-fall-solutions,Prepare for hair assessment,true,published
/knowledge/hair-transplant-aftercare,article,Hair transplant recovery,informational,hair transplant aftercare,graft washing; donor care; recovery warning signs,Bhubaneswar,/knowledge,/hair-transplant-bhubaneswar;/treatments/hair-restoration/fue-hair-transplant,Prepare for recovery,true,published
/knowledge/acne-scar-types-and-treatment-planning,article,Acne scar planning,informational,acne scar types and treatment planning,rolling scars; ice pick scars; layered scar treatment,Bhubaneswar,/knowledge,/acne-scar-treatment-bhubaneswar;/treatments/skin-laser/acne-scar-revision,Understand scar planning,true,published
/knowledge/laser-hair-reduction-expectations,article,Laser hair reduction,informational,laser hair reduction sessions and safety,skin type; session spacing; maintenance,Bhubaneswar,/knowledge,/laser-hair-removal-bhubaneswar;/treatments/skin-laser/laser-hair-reduction,Prepare for laser consultation,true,published
/knowledge/hair-transplant-cost-factors,article,Hair transplant cost,commercial-investigation,hair transplant cost factors,graft estimate; donor supply; inclusions; follow-up,Bhubaneswar,/knowledge,/hair-transplant-bhubaneswar;/treatments/hair-restoration/fue-hair-transplant,Compare transparent plans,true,published
/knowledge/prp-gfc-hair-restoration-guide,article,PRP and GFC scalp therapy,informational,PRP GFC hair treatment questions,patient selection; sessions; limitations; safety,Bhubaneswar,/knowledge,/treatments/hair-restoration/prp-gfc-scalp-therapy;/concerns/hair-loss-scalp/hair-loss,Prepare for scalp consultation,true,published
/before-after,results-viewer,Treatment comparisons,commercial-investigation,interactive before after treatment comparisons,hair transplant before after; skin before after,Bhubaneswar,/results,/results;/contact,Discuss suitability,true,published
/results,results-index,Treatment results,commercial-investigation,hair transplant and skin treatment results,hair restoration results; acne scar results; pigmentation results,Bhubaneswar,/,/before-after;/treatments/hair-restoration;/treatments/skin,Review consent-confirmed results,true,published
/locations,location-index,Outstation clinic visits,local-commercial,outstation visit to Radiance Clinics,Odisha patients; Bhubaneswar clinic directions,Odisha,/contact,/hair-transplant-bhubaneswar;/contact,Plan clinic visit,true,published
/reviews,review-index,Patient reviews,commercial-investigation,Radiance Clinics reviews,Google reviews; clinic feedback,Bhubaneswar,/,/contact;/about,Review clinic reputation,true,published
/contact,contact,Clinic contact,transactional,contact Radiance Clinics Bhubaneswar,appointment; phone; WhatsApp; directions,Bhubaneswar,/,/locations;/treatments,Book appointment,true,published
/privacy-policy,policy,Website privacy,informational,Radiance Clinics privacy policy,analytics; forms; AI assistant; private questions,Bhubaneswar,/,/contact,Understand data handling,true,published
/hair-transplant-bhubaneswar,local-service,Hair transplant,local-transactional,hair transplant in Bhubaneswar,FUE; donor assessment; hairline planning,Bhubaneswar,/treatments/hair-restoration,/treatments/hair-restoration/fue-hair-transplant;/conditions/hair-fall-thinning;/results#hair-transplant-results,Book hair transplant consultation,true,published
/skin-clinic-bhubaneswar,local-service,Skin clinic,local-transactional,skin clinic in Bhubaneswar,dermatology consultation; acne; pigmentation,Bhubaneswar,/treatments/skin,/conditions/acne-acne-scars;/conditions/pigmentation-melasma;/results#skin-results,Book skin consultation,true,published
/laser-hair-removal-bhubaneswar,local-service,Laser hair removal,local-transactional,laser hair removal in Bhubaneswar,laser hair reduction; skin type; aftercare,Bhubaneswar,/treatments/laser,/treatments/skin-laser/laser-hair-reduction;/knowledge/laser-skin-treatments-safety,Book laser consultation,true,published
/acne-scar-treatment-bhubaneswar,local-service,Acne scars,local-transactional,acne scar treatment in Bhubaneswar,scar revision; acne marks; texture,Bhubaneswar,/treatments/skin,/treatments/skin-laser/acne-scar-revision;/conditions/acne-acne-scars;/results#skin-results,Book acne scar assessment,true,published
/pigmentation-treatment-bhubaneswar,local-service,Pigmentation,local-transactional,pigmentation treatment in Bhubaneswar,melasma; uneven tone; laser pigmentation,Bhubaneswar,/treatments/skin,/treatments/skin-laser/laser-pigmentation-program;/conditions/pigmentation-melasma;/results#skin-results,Book pigmentation assessment,true,published
/acne-treatment-bhubaneswar,local-service,Active acne,local-transactional,active acne treatment in Bhubaneswar,breakouts; comedones; acne marks,Bhubaneswar,/treatments/skin,/concerns/acne/acne;/acne-scar-treatment-bhubaneswar;/skin-clinic-bhubaneswar,Book acne assessment,true,published
/hair-loss-clinic-bhubaneswar,local-service,Hair loss consultation,local-transactional,hair loss clinic in Bhubaneswar,shedding; thinning; scalp assessment,Bhubaneswar,/treatments/hair-restoration,/conditions/hair-fall-thinning;/treatments/hair-restoration/prp-gfc-scalp-therapy;/hair-transplant-bhubaneswar,Book hair assessment,true,published
/alopecia-areata-treatment-bhubaneswar,local-service,Alopecia areata,local-transactional,alopecia areata treatment in Bhubaneswar,patchy hair loss; beard alopecia; smooth bald patches,Bhubaneswar,/treatments/hair-restoration,/hair-loss-clinic-bhubaneswar;/conditions/hair-fall-thinning;/knowledge/hair-loss-causes-and-assessment,Book patchy hair-loss assessment,true,published
/non-surgical-hair-replacement-bhubaneswar,local-service,Non-surgical hair replacement,local-transactional,non-surgical hair replacement in Bhubaneswar,hair patch; hair system; cosmetic hair coverage,Bhubaneswar,/treatments/hair-restoration,/hair-loss-clinic-bhubaneswar;/hair-transplant-bhubaneswar;/knowledge/hair-loss-causes-and-assessment,Book hair-system consultation,true,published
/wart-removal-bhubaneswar,local-service,Wart assessment,local-transactional,wart removal in Bhubaneswar,skin lesion assessment; removal; aftercare,Bhubaneswar,/treatments/skin,/concerns/other-skin-concerns/moles-and-warts;/skin-clinic-bhubaneswar,Book lesion assessment,true,published
/botox-treatment-bhubaneswar,local-service,Botox treatment,local-transactional,Botox treatment in Bhubaneswar,expression lines; facial movement; conservative planning,Bhubaneswar,/treatments/aesthetic-dermatology,/treatments/aesthetic-dermatology/injectable-aesthetics;/concerns/aging-aesthetics/forehead-lines;/dermal-fillers-bhubaneswar,Book aesthetic consultation,true,published
/dermal-fillers-bhubaneswar,local-service,Dermal fillers,local-transactional,dermal fillers in Bhubaneswar,facial volume; proportion; conservative placement,Bhubaneswar,/treatments/aesthetic-dermatology,/treatments/aesthetic-dermatology/injectable-aesthetics;/concerns/aging-aesthetics/facial-volume-loss;/botox-treatment-bhubaneswar,Book aesthetic consultation,true,published
/tattoo-removal-bhubaneswar,local-service,Laser tattoo removal,local-transactional,laser tattoo removal in Bhubaneswar,tattoo fading; ink colour; laser aftercare,Bhubaneswar,/treatments/laser,/treatments/laser;/skin-clinic-bhubaneswar;/contact,Book laser assessment,true,published
/hair-transplant-cuttack,outstation-location,Hair transplant travel planning,local-commercial,hair transplant for Cuttack patients,donor assessment; Bhubaneswar clinic; travel planning,Cuttack,/locations,/hair-transplant-bhubaneswar;/treatments/hair-restoration/fue-hair-transplant;/contact,Plan a Bhubaneswar consultation,true,published
/hair-transplant-puri,outstation-location,Hair transplant travel planning,local-commercial,hair transplant for Puri patients,donor assessment; Bhubaneswar clinic; recovery travel,Puri,/locations,/hair-transplant-bhubaneswar;/knowledge/hair-transplant-aftercare;/contact,Plan a Bhubaneswar consultation,true,published
/hair-transplant-berhampur,outstation-location,Hair transplant travel planning,local-commercial,hair transplant for Berhampur patients,donor assessment; Bhubaneswar clinic; appointment planning,Berhampur,/locations,/hair-transplant-bhubaneswar;/treatments/hair-restoration/fue-hair-transplant;/contact,Plan a Bhubaneswar consultation,true,published
/hair-transplant-sambalpur,outstation-location,Hair transplant travel planning,local-commercial,hair transplant for Sambalpur patients,donor assessment; Bhubaneswar clinic; follow-up planning,Sambalpur,/locations,/hair-transplant-bhubaneswar;/knowledge/hair-transplant-aftercare;/contact,Plan a Bhubaneswar consultation,true,published
/hair-transplant-rourkela,outstation-location,Hair transplant travel planning,local-commercial,hair transplant for Rourkela patients,donor assessment; Bhubaneswar clinic; long-distance travel,Rourkela,/locations,/hair-transplant-bhubaneswar;/treatments/hair-restoration/fue-hair-transplant;/contact,Plan a Bhubaneswar consultation,true,published
/hair-transplant-baripada,outstation-location,Hair transplant travel planning,local-commercial,hair transplant for Baripada patients,donor assessment; Bhubaneswar clinic; review planning,Baripada,/locations,/hair-transplant-bhubaneswar;/knowledge/hair-transplant-aftercare;/contact,Plan a Bhubaneswar consultation,true,published
/treatments/hair-restoration/fue-hair-transplant,treatment,FUE hair transplant,commercial-investigation,FUE hair transplant planning,donor area; hairline design; transplant suitability,Bhubaneswar,/treatments/hair-restoration,/hair-transplant-bhubaneswar;/conditions/hair-fall-thinning;/results#hair-transplant-results,Book suitability assessment,true,published
/treatments/hair-restoration/prp-gfc-scalp-therapy,treatment,PRP and GFC,commercial-investigation,PRP GFC scalp therapy,early thinning; scalp support; maintenance,Bhubaneswar,/treatments/hair-restoration,/conditions/hair-fall-thinning;/knowledge/how-to-plan-hair-restoration,Book hair consultation,true,published
/treatments/hair-restoration/advanced-hair-fall-solutions,treatment,Hair fall treatment,commercial-investigation,advanced hair fall solutions,diffuse thinning; shedding; scalp assessment,Bhubaneswar,/treatments/hair-restoration,/conditions/hair-fall-thinning;/knowledge/how-to-plan-hair-restoration,Book hair assessment,true,published
/treatments/skin-laser/laser-pigmentation-program,treatment,Laser pigmentation,commercial-investigation,laser pigmentation program,uneven tone; melasma; pigment risk,Bhubaneswar,/treatments/laser,/pigmentation-treatment-bhubaneswar;/conditions/pigmentation-melasma,Book pigmentation assessment,true,published
/treatments/skin-laser/laser-hair-reduction,treatment,Laser hair reduction,commercial-investigation,laser hair reduction treatment,unwanted hair; ingrown hair; session planning,Bhubaneswar,/treatments/laser,/laser-hair-removal-bhubaneswar;/knowledge/laser-skin-treatments-safety,Book laser assessment,true,published
/treatments/skin-laser/acne-scar-revision,treatment,Acne scar revision,commercial-investigation,acne scar revision treatment,scar morphology; texture; staged treatment,Bhubaneswar,/treatments/skin,/acne-scar-treatment-bhubaneswar;/conditions/acne-acne-scars;/results#skin-results,Book acne scar assessment,true,published
/treatments/aesthetic-dermatology/injectable-aesthetics,treatment,Injectable aesthetics,commercial-investigation,injectable aesthetic planning,fillers; facial balance; anti-ageing,Bhubaneswar,/treatments/aesthetic-dermatology,/conditions/skin-ageing-laxity;/knowledge/premium-aesthetic-consultation,Book aesthetic consultation,true,published
/treatments/skin-wellness/bridal-glow-protocol,treatment,Event skin planning,commercial-investigation,event skin protocols,bridal skin; hydration; skin preparation,Bhubaneswar,/treatments/skin,/skin-clinic-bhubaneswar;/knowledge/premium-aesthetic-consultation,Book skin consultation,true,published
/conditions/hair-fall-thinning,condition,Hair fall,informational,hair fall and thinning guidance,receding hairline; widening part; shedding,Bhubaneswar,/conditions,/treatments/hair-restoration;/results#hair-transplant-results,Book hair assessment,true,published
/conditions/acne-acne-scars,condition,Acne and acne scars,informational,acne and acne scar guidance,breakouts; acne marks; pitted scars,Bhubaneswar,/conditions,/treatments/skin;/acne-scar-treatment-bhubaneswar;/results#skin-results,Book skin assessment,true,published
/conditions/pigmentation-melasma,condition,Pigmentation and melasma,informational,pigmentation and melasma guidance,brown patches; uneven tone; recurring pigmentation,Bhubaneswar,/conditions,/treatments/skin;/pigmentation-treatment-bhubaneswar;/results#skin-results,Book pigmentation assessment,true,published
/conditions/skin-ageing-laxity,condition,Skin ageing,informational,skin ageing and laxity guidance,fine lines; volume change; texture,Bhubaneswar,/conditions,/treatments/aesthetic-dermatology;/knowledge/premium-aesthetic-consultation,Book aesthetic consultation,true,published
/knowledge/how-to-plan-hair-restoration,article,Hair restoration planning,informational,hair restoration planning guide,diagnosis; donor planning; maintenance,Bhubaneswar,/knowledge,/treatments/hair-restoration;/hair-transplant-bhubaneswar,Book hair consultation,true,published
/knowledge/laser-skin-treatments-safety,article,Laser safety,informational,laser skin treatment safety,skin typing; settings; preparation; aftercare,Bhubaneswar,/knowledge,/treatments/laser;/laser-hair-removal-bhubaneswar,Book laser consultation,true,published
/knowledge/premium-aesthetic-consultation,article,Aesthetic consultation,informational,aesthetic consultation guide,restraint; facial proportion; treatment planning,Bhubaneswar,/knowledge,/treatments/aesthetic-dermatology;/about,Book aesthetic consultation,true,published
/knowledge/best-skin-clinic-bhubaneswar,redirect,Skin clinic,local-transactional,how to choose a skin clinic,skin clinic; skin doctor; dermatologist,Bhubaneswar,,/skin-clinic-bhubaneswar,Visit canonical skin clinic page,false,redirected
/knowledge/skin-care-doctor-bhubaneswar,redirect,Skin clinic,local-transactional,when to consult a skin doctor,skin specialist; dermatologist; skin consultation,Bhubaneswar,,/skin-clinic-bhubaneswar,Visit canonical skin clinic page,false,redirected
