suggested_url,topic,intent,priority,reason,verified_information_available,medical_input_required,image_assets_required,status
/concerns/acne-scars/ice-pick-scars,Ice Pick Acne Scars,ice pick acne scars guidance,P0,Doctor-reviewed and approved for indexation,doctor-reviewed,no,no,approved
/concerns/acne-scars/boxcar-scars,Boxcar Acne Scars,boxcar acne scars guidance,P0,Doctor-reviewed and approved for indexation,doctor-reviewed,no,no,approved
/concerns/acne-scars/rolling-scars,Rolling Acne Scars,rolling acne scars guidance,P0,Doctor-reviewed and approved for indexation,doctor-reviewed,no,no,approved
/concerns/acne-scars/post-acne-red-marks,Red Marks After Acne,red marks after acne guidance,P1,Doctor-reviewed and approved for indexation,doctor-reviewed,no,no,approved
/concerns/acne-scars/post-inflammatory-hyperpigmentation,Dark Marks After Acne,dark marks after acne guidance,P1,Doctor-reviewed and approved for indexation,doctor-reviewed,no,no,approved
/concerns/acne-scars/deep-acne-scars,Deep Acne Scars,deep acne scars guidance,P0,Doctor-reviewed and approved for indexation,doctor-reviewed,no,no,approved
/concerns/pigmentation/pigmentation,Facial Pigmentation,facial pigmentation guidance,P0,Doctor-reviewed and approved for indexation,doctor-reviewed,no,no,approved
/concerns/pigmentation/melasma,Melasma,melasma guidance,P0,Doctor-reviewed and approved for indexation,doctor-reviewed,no,no,approved
/concerns/pigmentation/sunspots,Sunspots,sunspots guidance,P0,Doctor-reviewed and approved for indexation,doctor-reviewed,no,no,approved
/concerns/pigmentation/uneven-skin-tone,Uneven Skin Tone,uneven skin tone guidance,P1,Doctor-reviewed and approved for indexation,doctor-reviewed,no,no,approved
/concerns/pigmentation/tanning,Sun Tan & Persistent Darkening,sun tan & persistent darkening guidance,P1,Doctor-reviewed and approved for indexation,doctor-reviewed,no,no,approved
/concerns/pigmentation/lip-pigmentation,Lip Pigmentation,lip pigmentation guidance,P1,Doctor-reviewed and approved for indexation,doctor-reviewed,no,no,approved
/concerns/pigmentation/under-eye-dark-circles,Under-Eye Dark Circles,under-eye dark circles guidance,P0,Doctor-reviewed and approved for indexation,doctor-reviewed,no,no,approved
/concerns/skin-texture/enlarged-pores,Visible or Enlarged Pores,visible or enlarged pores guidance,P1,Doctor-reviewed and approved for indexation,doctor-reviewed,no,no,approved
/concerns/skin-texture/rough-skin-texture,Rough Skin Texture,rough skin texture guidance,P1,Doctor-reviewed and approved for indexation,doctor-reviewed,no,no,approved
/concerns/skin-texture/dull-skin,Dull-Looking Skin,dull-looking skin guidance,P1,Doctor-reviewed and approved for indexation,doctor-reviewed,no,no,approved
/concerns/skin-texture/fine-lines,Fine Lines,fine lines guidance,P1,Doctor-reviewed and approved for indexation,doctor-reviewed,no,no,approved
/concerns/skin-texture/dehydrated-skin,Dehydrated Skin,dehydrated skin guidance,P1,Doctor-reviewed and approved for indexation,doctor-reviewed,no,no,approved
/concerns/aging-aesthetics/skin-laxity,Skin Laxity,skin laxity guidance,P0,Doctor-reviewed and approved for indexation,doctor-reviewed,no,no,approved
/concerns/aging-aesthetics/facial-volume-loss,Facial Volume Loss,facial volume loss guidance,P1,Doctor-reviewed and approved for indexation,doctor-reviewed,no,no,approved
/concerns/aging-aesthetics/forehead-lines,Forehead & Frown Lines,forehead & frown lines guidance,P1,Doctor-reviewed and approved for indexation,doctor-reviewed,no,no,approved
/concerns/aging-aesthetics/under-eye-bags,Under-Eye Bags,under-eye bags guidance,P1,Doctor-reviewed and approved for indexation,doctor-reviewed,no,no,approved
/concerns/laser-hair-reduction/unwanted-facial-hair,Unwanted Facial Hair,unwanted facial hair guidance,P1,Doctor-reviewed and approved for indexation,doctor-reviewed,no,no,approved
/concerns/laser-hair-reduction/ingrown-hair,Ingrown Hair,ingrown hair guidance,P1,Doctor-reviewed and approved for indexation,doctor-reviewed,no,no,approved
/concerns/laser-hair-reduction/strawberry-legs,Strawberry Legs,strawberry legs guidance,P1,Doctor-reviewed and approved for indexation,doctor-reviewed,no,no,approved
/concerns/laser-hair-reduction/laser-hair-reduction-suitability,Laser Hair Reduction Suitability,laser hair reduction suitability guidance,P0,Doctor-reviewed and approved for indexation,doctor-reviewed,no,no,approved
/concerns/laser-hair-reduction/laser-hair-removal-dark-skin,Laser Hair Reduction for Darker Skin,laser hair reduction for darker skin guidance,P0,Doctor-reviewed and approved for indexation,doctor-reviewed,no,no,approved
/concerns/scars-stretch-marks/stretch-marks,Stretch Marks,stretch marks guidance,P1,Doctor-reviewed and approved for indexation,doctor-reviewed,no,no,approved
/concerns/scars-stretch-marks/surgical-scars,Surgical Scars,surgical scars guidance,P1,Doctor-reviewed and approved for indexation,doctor-reviewed,no,no,approved
/concerns/scars-stretch-marks/traumatic-scars,Traumatic & Injury Scars,traumatic & injury scars guidance,P1,Doctor-reviewed and approved for indexation,doctor-reviewed,no,no,approved
/concerns/scars-stretch-marks/raised-scars-keloids,Raised Scars & Keloids,raised scars & keloids guidance,P1,Doctor-reviewed and approved for indexation,doctor-reviewed,no,no,approved
/concerns/other-skin-concerns/moles-and-warts,"Moles, Skin Tags & Warts","moles, skin tags & warts guidance",P1,Doctor-reviewed and approved for indexation,doctor-reviewed,no,no,approved
/concerns/other-skin-concerns/rosacea-redness,Persistent Facial Redness & Rosacea,persistent facial redness & rosacea guidance,P1,Doctor-reviewed and approved for indexation,doctor-reviewed,no,no,approved
/concerns/other-skin-concerns/excessive-sweating,Excessive Sweating,excessive sweating guidance,P1,Doctor-reviewed and approved for indexation,doctor-reviewed,no,no,approved
