legacy_url,destination_url,status,reason,equivalence_confidence,notes
/female-hair-transplant,https://www.radianceclinics.com/concerns/hair-transplant/female-hair-transplant,active-permanent,Current female hair transplant concern page,high,Direct concern-level replacement.
/fillers,https://www.radianceclinics.com/dermal-fillers-bhubaneswar,active-permanent,Dedicated doctor-approved dermal fillers page,high,Commercial filler intent is preserved on the canonical local page.
/follicular-unit-extraction-fue,https://www.radianceclinics.com/treatments/hair-restoration/fue-hair-transplant,active-permanent,Current FUE planning page,high,Direct treatment-intent replacement.
/frequently-asked-questions,https://www.radianceclinics.com/doctor-answers,active-permanent,Current Doctor Answers collection,high,The current collection is the equivalent patient-information hub.
/fue-hair-transplant-bhubaneswar,https://www.radianceclinics.com/treatments/hair-restoration/fue-hair-transplant,active-permanent,Existing canonical FUE planning page,high,Preserves the established FUE route and avoids cannibalisation.
/hair-care-treatment-clinic-in-bhubaneswar,https://www.radianceclinics.com/hair-loss-clinic-bhubaneswar,active-permanent,Current hair-loss clinic page,high,Local consultation intent is consolidated on one canonical page.
/hair-loss-causes,https://www.radianceclinics.com/knowledge/hair-loss-causes-and-assessment,active-permanent,Equivalent reviewed hair-loss guide,high,Overlapping education is consolidated.
/hair-loss-treatment-bhubaneswar,https://www.radianceclinics.com/hair-loss-clinic-bhubaneswar,active-permanent,Existing canonical hair loss consultation page,high,Prevents a duplicate local commercial hair-loss page.
/hair-loss-treatments,https://www.radianceclinics.com/hair-loss-clinic-bhubaneswar,active-permanent,Diagnosis-led hair loss consultation page,high,Replaces the former commercial hair loss page.
/hair-patch,https://www.radianceclinics.com/non-surgical-hair-replacement-bhubaneswar,active-permanent,Current non-surgical hair replacement page,high,Restores the former commercial hair-patch intent without carrying forward unsupported claims.
/hair-patch-and-hair-wig,https://www.radianceclinics.com/non-surgical-hair-replacement-bhubaneswar,active-permanent,Current hair patch and non-surgical replacement page,high,Shared external-coverage intent is consolidated on one canonical page.
/hair-regrowth-treatment,https://www.radianceclinics.com/hair-loss-clinic-bhubaneswar,active-permanent,Current hair-loss assessment page,high,The current clinic page avoids promising regrowth before diagnosis.
/hair-services,https://www.radianceclinics.com/treatments/hair-restoration,active-permanent,Current hair restoration hub,high,Broad historical service navigation is consolidated into the current hub.
/hair-transplant-clinic-in-bhubaneswar,https://www.radianceclinics.com/hair-transplant-bhubaneswar,active-permanent,Current hair transplant clinic page,high,Direct local commercial-intent replacement.
/hair-transplant-in-angul,https://www.radianceclinics.com/hair-transplant-bhubaneswar,active-permanent,Verified clinic hair transplant page,medium,No Angul branch is claimed and no thin city page is created.
/hair-transplant-in-balasore,https://www.radianceclinics.com/hair-transplant-bhubaneswar,active-permanent,Verified clinic hair transplant page,medium,No Balasore branch is claimed and no thin city page is created.
/hair-transplant-in-baripada,https://www.radianceclinics.com/hair-transplant-baripada,active-permanent,Dedicated planning page for patients travelling from Baripada,high,The page clearly states that treatment is in Bhubaneswar.
/hair-transplant-in-berhampur,https://www.radianceclinics.com/hair-transplant-berhampur,active-permanent,Dedicated planning page for patients travelling from Berhampur,high,The page clearly states that treatment is in Bhubaneswar.
/hair-transplant-in-cuttack,https://www.radianceclinics.com/hair-transplant-cuttack,active-permanent,Dedicated planning page for patients travelling from Cuttack,high,The page clearly states that treatment is in Bhubaneswar.
/hair-transplant-in-jajpur,https://www.radianceclinics.com/hair-transplant-bhubaneswar,active-permanent,Verified clinic hair transplant page,medium,No Jajpur branch is claimed and no thin city page is created.
/hair-transplant-in-kolkata,https://www.radianceclinics.com/hair-transplant-bhubaneswar,active-permanent,Verified clinic hair transplant page,medium,No Kolkata branch is claimed and no thin city page is created.
/hair-transplant-in-koraput,https://www.radianceclinics.com/hair-transplant-bhubaneswar,active-permanent,Verified clinic hair transplant page,medium,No Koraput branch is claimed and no thin city page is created.
/hair-transplant-in-puri,https://www.radianceclinics.com/hair-transplant-puri,active-permanent,Dedicated planning page for patients travelling from Puri,high,The page clearly states that treatment is in Bhubaneswar.
/hair-transplant-in-raipur,https://www.radianceclinics.com/hair-transplant-bhubaneswar,active-permanent,Verified clinic hair transplant page,medium,No Raipur branch is claimed and no thin city page is created.
/hair-transplant-in-rourkela,https://www.radianceclinics.com/hair-transplant-rourkela,active-permanent,Dedicated planning page for patients travelling from Rourkela,high,The page clearly states that treatment is in Bhubaneswar.
/hair-transplant-in-sambalpur,https://www.radianceclinics.com/hair-transplant-sambalpur,active-permanent,Dedicated planning page for patients travelling from Sambalpur,high,The page clearly states that treatment is in Bhubaneswar.
/hair-transplant-in-vizag,https://www.radianceclinics.com/hair-transplant-bhubaneswar,active-permanent,Verified clinic hair transplant page,medium,No Vizag branch is claimed and no thin city page is created.
/hair-transplantation,https://www.radianceclinics.com/hair-transplant-bhubaneswar,active-permanent,Equivalent hair transplant consultation page,high,Direct one-hop replacement.
/hair-wig,https://www.radianceclinics.com/non-surgical-hair-replacement-bhubaneswar,active-permanent,Shared external hair coverage consultation,high,Restores a historical winner; the destination includes substantive wig guidance without inventing a separate retail service.
/high-density-hair-transplant,https://www.radianceclinics.com/hair-transplant-bhubaneswar,active-permanent,Current hair transplant consultation page,high,The replacement retains planning intent without promising density.
/knowledge/best-skin-clinic-bhubaneswar,https://www.radianceclinics.com/skin-clinic-bhubaneswar,active-permanent,Canonical skin-clinic decision page,high,Prevents a keyword-variant article from competing with the local commercial page.
/knowledge/skin-care-doctor-bhubaneswar,https://www.radianceclinics.com/skin-clinic-bhubaneswar,active-permanent,Canonical skin-clinic consultation page,high,Consolidates skin doctor and skin specialist variants under one query owner.
/laser-hair-removal-radiance,https://www.radianceclinics.com/laser-hair-removal-bhubaneswar,active-permanent,Equivalent laser hair removal page,high,Local commercial intent is preserved.
/laser-photo-rejuvenation-radiance,https://www.radianceclinics.com/skin-clinic-bhubaneswar,active-permanent,Current skin-clinic assessment page,high,The current page supports diagnosis-led skin treatment planning.
/laser-re-surfacing,https://www.radianceclinics.com/skin-clinic-bhubaneswar,active-permanent,Current skin-clinic assessment page,high,The current page supports diagnosis-led skin treatment planning.
/media-press-release,https://www.radianceclinics.com/media,active-permanent,Current media coverage page,high,The media collection is the direct current replacement.
/microdermabrasion-radiance,https://www.radianceclinics.com/skin-clinic-bhubaneswar,active-permanent,Current skin-clinic assessment page,high,The current page supports diagnosis-led skin treatment planning.
/mole-removal,https://www.radianceclinics.com/concerns/other-skin-concerns/moles-and-warts,active-permanent,Current moles and warts concern page,high,Assessment comes before removal planning.
/mole-wart-removal,https://www.radianceclinics.com/wart-removal-bhubaneswar,active-permanent,Dedicated wart assessment and removal page,high,The replacement avoids diagnosing an uncertain lesion online.
/photo-gallery,https://www.radianceclinics.com/results,active-permanent,Closest current verified result and clinic collection,medium,No private or unverified imagery is exposed.
/post-hair-transplant-recovery-guide,https://www.radianceclinics.com/knowledge/hair-transplant-aftercare,active-permanent,Current hair transplant aftercare guide,high,Direct educational replacement.
/post/a-complete-guide-to-know-about-botox-treatment,https://www.radianceclinics.com/botox-treatment-bhubaneswar,active-permanent,Dedicated doctor-approved Botox treatment page,high,Legacy Botox education and commercial intent are consolidated in one canonical page.
/post/acne-check-peel-your-comprehensive-guide-to-clearer-skin,https://www.radianceclinics.com/acne-treatment-bhubaneswar,active-permanent,Canonical active acne treatment page,medium,Procedure selection follows assessment.
/post/advanced-acne-scar-removal-treatments-you-should-know,https://www.radianceclinics.com/acne-scar-treatment-bhubaneswar,active-permanent,Current acne-scar assessment page,high,Direct treatment-intent replacement.
/post/best-dermatologist-for-acne-an-treatment,https://www.radianceclinics.com/acne-treatment-bhubaneswar,active-permanent,Current acne treatment page,high,The replacement provides the relevant consultation route without unsupported superlatives.
/post/botox-vs-fillers-which-is-right-for-you,https://www.radianceclinics.com/treatments/aesthetic-dermatology/injectable-aesthetics,active-permanent,Current injectable planning page,high,The replacement evaluates both treatment categories without choosing one universally.
/post/can-laser-hair-removal-permanently-remove-hair,https://www.radianceclinics.com/laser-hair-removal-bhubaneswar,active-permanent,Canonical laser hair reduction page,high,The destination avoids guaranteed permanent-removal claims.
/post/can-skin-clinics-help-with-dark-circles-and-under-eye-concerns,https://www.radianceclinics.com/concerns/pigmentation/under-eye-dark-circles,active-permanent,Current under-eye concern page,high,Direct concern-level replacement.
/post/can-you-reverse-signs-of-ageing-with-anti-ageing-treatment,https://www.radianceclinics.com/conditions/skin-ageing-laxity,active-permanent,Current skin-ageing concern page,high,The replacement avoids reversal claims and retains assessment-led ageing guidance.
/post/certain-myths-about-hair-transplants-for-young-men,https://www.radianceclinics.com/hair-transplant-bhubaneswar,active-permanent,Current hair transplant clinic page,high,The current page retains suitability and planning context.
/post/combat-hair-fall-natural-remedies-dermatologist-tips,https://www.radianceclinics.com/hair-loss-clinic-bhubaneswar,active-permanent,Current hair-loss clinic page,high,The replacement preserves consultation intent without relying on generic remedy claims.
/post/common-hair-loss-myths-that-might-be-holding-you-back,https://www.radianceclinics.com/hair-loss-clinic-bhubaneswar,active-permanent,Current hair-loss clinic page,high,The current page provides an assessment-led next step for the same intent.
/post/common-myths-about-laser-hair-removal-treatments,https://www.radianceclinics.com/laser-hair-removal-bhubaneswar,active-permanent,Current laser hair removal page,high,Direct treatment-intent replacement.
/post/decoding-the-cost-of-chemical-peels-in-odisha-understanding-the-factors-behind-pricing,https://www.radianceclinics.com/skin-clinic-bhubaneswar,active-permanent,Current skin-clinic assessment page,high,A procedure recommendation and cost discussion depend on clinical assessment.
/post/discovering-the-best-solutions-for-acne-scar-treatment,https://www.radianceclinics.com/acne-scar-treatment-bhubaneswar,active-permanent,Current acne-scar assessment page,high,The replacement avoids unsupported best-treatment claims.
/post/experience-natural-looking-hair-with-hair-patch,https://www.radianceclinics.com/non-surgical-hair-replacement-bhubaneswar,active-permanent,Canonical non-surgical hair replacement page,high,Consolidates overlapping hair-patch guidance.
/post/fillers-treatment-at-radiance-skin-and-hair-clinics-in-bhubaneswar,https://www.radianceclinics.com/dermal-fillers-bhubaneswar,active-permanent,Current dermal fillers page,high,Direct local treatment-intent replacement.
/post/four-misconceptions-people-have-about-laser-tattoo-removal-in-bhubaneswar,https://www.radianceclinics.com/tattoo-removal-bhubaneswar,active-permanent,Current laser tattoo removal page,high,Direct treatment-intent replacement.
/post/fue-vs-fut-which-hair-transplant-works-right-for-you,https://www.radianceclinics.com/treatments/hair-restoration/fue-hair-transplant,active-permanent,Current FUE planning page,high,The current page covers procedure planning without universal method claims.
/post/hair-loss-and-hair-thinning,https://www.radianceclinics.com/hair-loss-clinic-bhubaneswar,active-permanent,Current hair-loss clinic page,high,Direct hair-loss assessment replacement.
/post/hair-loss-treatment,https://www.radianceclinics.com/hair-loss-clinic-bhubaneswar,active-permanent,Current hair-loss clinic page,high,Direct commercial-intent replacement.
/post/hair-transplants-what-to-expect,https://www.radianceclinics.com/knowledge/hair-transplant-aftercare,active-permanent,Current transplant recovery and aftercare guide,medium,Fixed outcome and timeline claims are not carried forward.
/post/hair-treatment-doctor-near-me,https://www.radianceclinics.com/hair-loss-clinic-bhubaneswar,active-permanent,Current hair-loss clinic page,high,Local treatment and doctor intent is consolidated on the canonical page.
/post/how-does-hair-loss-affect-an-individuals-confidence-level,https://www.radianceclinics.com/hair-loss-clinic-bhubaneswar,active-permanent,Current hair-loss clinic page,high,The current page is the relevant clinical consultation route.
/post/how-effective-is-having-laser-hair-removal-in-bhubaneswar,https://www.radianceclinics.com/laser-hair-removal-bhubaneswar,active-permanent,Current laser hair removal page,high,The current page preserves local intent without promising a result.
/post/how-facial-fillers-can-enhance-your-natural-beauty,https://www.radianceclinics.com/dermal-fillers-bhubaneswar,active-permanent,Current dermal fillers page,high,Direct treatment-intent replacement.
/post/how-long-does-it-take-to-see-results-after-a-hair-transplant,https://www.radianceclinics.com/hair-transplant-bhubaneswar,active-permanent,Canonical hair transplant planning page,high,Timelines remain individual and non-guaranteed.
/post/how-many-prp-sessions-are-needed-for-visible-hair-growth,https://www.radianceclinics.com/treatments/hair-restoration/prp-gfc-scalp-therapy,active-permanent,Canonical PRP and GFC treatment page,high,Session count remains assessment-dependent.
/post/how-to-care-for-your-scalp-after-a-hair-transplant,https://www.radianceclinics.com/knowledge/hair-transplant-aftercare,active-permanent,Equivalent reviewed aftercare guide,high,Historical education is consolidated.
/post/how-to-ensure-the-success-of-hair-transplant-having-it-at-a-hair-transplant,https://www.radianceclinics.com/hair-transplant-bhubaneswar,active-permanent,Current hair transplant clinic page,high,The replacement avoids outcome guarantees and keeps planning intent.
/post/how-to-know-if-youre-a-good-candidate-for-fue-or-fut,https://www.radianceclinics.com/treatments/hair-restoration/fue-hair-transplant,active-permanent,Current FUE planning page,high,Suitability is retained as an assessment-led topic.
/post/is-hair-transplant-the-right-solution-for-you-a-complete-guide-on-hair-transplant,https://www.radianceclinics.com/hair-transplant-bhubaneswar,active-permanent,Current hair transplant clinic page,high,The current page retains suitability and consultation intent.
/post/is-it-safe-to-have-a-hair-transplant-in-bhubaneswar-at-radiance-skin-and-hair-clinic,https://www.radianceclinics.com/hair-transplant-bhubaneswar,active-permanent,Current hair transplant clinic page,high,Safety and suitability are addressed through consultation rather than guarantees.
/post/laser-hair-removal,https://www.radianceclinics.com/laser-hair-removal-bhubaneswar,active-permanent,Current laser hair removal page,high,Direct treatment-intent replacement.
/post/laser-vs-fillers-vs-creams-what-truly-works-for-under-eye-bags,https://www.radianceclinics.com/concerns/pigmentation/under-eye-dark-circles,active-permanent,Current under-eye concern page,high,The current page provides assessment-led guidance instead of universal treatment claims.
/post/laser-vs-waxing-which-hair-removal-method-is-right-for-you,https://www.radianceclinics.com/laser-hair-removal-bhubaneswar,active-permanent,Canonical laser hair removal page,high,Commercial comparison intent is consolidated.
/post/locks-of-elegance-where-to-find-quality-hair-wigs,https://www.radianceclinics.com/non-surgical-hair-replacement-bhubaneswar,active-permanent,Wig consultation and matching,high,No unverified stock or location claims.
/post/non-surgical-hair-replacement,https://www.radianceclinics.com/non-surgical-hair-replacement-bhubaneswar,active-permanent,Canonical external coverage page,high,One owner for overlapping commercial intent.
/post/radiance-skin-and-hair-clinics-your-ideal-destination-for-hair-transplants,https://www.radianceclinics.com/hair-transplant-bhubaneswar,active-permanent,Current hair transplant clinic page,high,Historical commercial intent is consolidated on the canonical local page.
/post/reasons-to-have-professional-treatment-for-acne,https://www.radianceclinics.com/acne-treatment-bhubaneswar,active-permanent,Current acne treatment page,high,Direct active-acne treatment replacement.
/post/say-goodbye-to-monsoon-hair-loss-easy-ways-to-control-hairfall,https://www.radianceclinics.com/hair-loss-clinic-bhubaneswar,active-permanent,Current hair-loss clinic page,high,The current page provides diagnosis-led guidance for hair fall.
/post/say-goodbye-to-warts-transform-your-skin-at-radiance-clinic,https://www.radianceclinics.com/wart-removal-bhubaneswar,active-permanent,Current wart assessment page,high,The replacement avoids an unsupported outcome claim.
/post/specialized-wart-removal-services-for-flawless-skin,https://www.radianceclinics.com/wart-removal-bhubaneswar,active-permanent,Canonical wart assessment page,high,The destination removes guarantee and flawless-skin claims.
/post/stubborn-acne-care-with-proven-medical-options,https://www.radianceclinics.com/acne-treatment-bhubaneswar,active-permanent,Current acne treatment page,high,Direct active-acne treatment replacement.
/post/tackling-hair-loss-a-guide-to-top-notch-hair-transplant-clinics,https://www.radianceclinics.com/hair-transplant-bhubaneswar,active-permanent,Current hair transplant clinic page,high,Local transplant-intent content is consolidated into the verified clinic page.
/post/the-best-acne-scar-treatments-to-boost-your-confidence,https://www.radianceclinics.com/acne-scar-treatment-bhubaneswar,active-permanent,Current acne-scar assessment page,high,The replacement avoids a universal best-treatment claim.
/post/the-ideal-clinic-to-have-acne-treatment-in-bhubaneswar-is-radiance-skin-and-hair-clinics,https://www.radianceclinics.com/acne-treatment-bhubaneswar,active-permanent,Canonical active acne treatment page,high,Commercial local intent is consolidated.
/post/the-key-to-lasting-smoothness-unlock-laser-hair-removal,https://www.radianceclinics.com/laser-hair-removal-bhubaneswar,active-permanent,Canonical laser hair removal page,high,Consolidates a high-impression legacy article.
/post/the-quality-of-hair-transplant-service-offered-by-radiance-skin-and-hair-clinics,https://www.radianceclinics.com/hair-transplant-bhubaneswar,active-permanent,Canonical hair transplant consultation page,high,Commercial treatment intent is consolidated.
/post/things-to-avoid-if-you-have-acne-prone-skin,https://www.radianceclinics.com/acne-treatment-bhubaneswar,active-permanent,Canonical active acne treatment page,medium,High-overlap acne content is consolidated.
/post/transform-your-look-the-benefits-of-custom-hair-wigs,https://www.radianceclinics.com/non-surgical-hair-replacement-bhubaneswar,active-permanent,Wig matching and maintenance guidance,high,No guaranteed cosmetic result.
/post/using-botox-and-fillers-for-anti-aging-treatments,https://www.radianceclinics.com/treatments/aesthetic-dermatology/injectable-aesthetics,active-permanent,Current injectable planning page,high,The current page covers clinician-led treatment selection.
/post/what-are-the-common-causes-of-hair-loss-in-women,https://www.radianceclinics.com/hair-loss-clinic-bhubaneswar,active-permanent,Current hair-loss clinic page,high,The current page supports diagnosis-led evaluation of hair loss.
/post/what-are-the-latest-trends-in-filler-treatment,https://www.radianceclinics.com/dermal-fillers-bhubaneswar,active-permanent,Current dermal fillers page,high,The current page covers suitability and alternatives rather than trends alone.
/post/what-causes-hair-loss-and-how-it-can-be-treated,https://www.radianceclinics.com/knowledge/hair-loss-causes-and-assessment,active-permanent,Equivalent reviewed hair-loss guide,high,Overlapping education is consolidated.
/post/what-common-mistakes-can-make-your-hair-transplant-more-expensive,https://www.radianceclinics.com/knowledge/hair-transplant-cost-factors,active-permanent,Equivalent reviewed cost-planning guide,high,Historical education is consolidated.
/post/what-is-gfc-treatment-and-how-does-it-help-in-hair-regrowth,https://www.radianceclinics.com/knowledge/prp-gfc-hair-restoration-guide,active-permanent,Equivalent reviewed PRP and GFC guide,high,Historical education is consolidated.
/post/what-is-the-best-hair-transplant-for-density,https://www.radianceclinics.com/hair-transplant-bhubaneswar,active-permanent,Canonical hair transplant planning page,high,No density outcome is guaranteed.
/post/what-is-the-best-permanent-treatment-for-hair-loss,https://www.radianceclinics.com/hair-loss-clinic-bhubaneswar,active-permanent,Current hair-loss clinic page,high,The replacement avoids a permanent-result claim and directs to assessment.
/post/what-makes-bio-hair-transplant-different-from-traditional-methods,https://www.radianceclinics.com/hair-transplant-bhubaneswar,active-permanent,Current hair transplant clinic page,high,The current page keeps the appropriate assessment-led transplant context.
/post/what-should-i-know-before-buying-a-hair-wig,https://www.radianceclinics.com/non-surgical-hair-replacement-bhubaneswar,active-permanent,Comprehensive wig selection and care guidance,high,Retains practical buying questions in the canonical coverage page.
/post/what-to-expect-during-your-first-visit-to-a-skin-care-doctor,https://www.radianceclinics.com/skin-clinic-bhubaneswar,active-permanent,Canonical skin-clinic consultation page,high,Consolidates a high-impression query-page mismatch.
/post/whats-the-cause-of-under-eye-dark-circles-and-what-treatments-can-help,https://www.radianceclinics.com/concerns/pigmentation/under-eye-dark-circles,active-permanent,Current under-eye concern page,high,Direct concern-level replacement.
/post/where-can-i-get-painless-wart-removal-treatment,https://www.radianceclinics.com/wart-removal-bhubaneswar,active-permanent,Canonical wart assessment page,high,The destination does not promise painless treatment.
/post/which-filler-is-right-for-you-expert-advice,https://www.radianceclinics.com/dermal-fillers-bhubaneswar,active-permanent,Current dermal fillers page,high,The current page supports consultation-led selection.
/post/which-is-better-synthetic-or-natural-hair-wigs,https://www.radianceclinics.com/non-surgical-hair-replacement-bhubaneswar,active-permanent,Wig materials and care comparison,high,Does not claim either material is universally better.
/post/who-is-the-ideal-candidate-for-a-hair-transplant,https://www.radianceclinics.com/hair-transplant-bhubaneswar,active-permanent,Canonical hair transplant suitability page,high,Suitability requires donor and scalp assessment.
/post/why-a-hair-wig-is-an-ideal-solution-for-hair-loss,https://www.radianceclinics.com/non-surgical-hair-replacement-bhubaneswar,active-permanent,Wig suitability and realistic limitations,high,Consolidates overlapping coverage intent.
/post/why-do-some-people-regret-getting-a-hair-transplant-too-early,https://www.radianceclinics.com/hair-transplant-bhubaneswar,active-permanent,Canonical hair transplant planning page,medium,Suitability and long-term planning are covered visibly.
/post/why-radiance-skin-and-hair-clinic-is-the-best-hair-loss-clinic-in-bhubaneswar,https://www.radianceclinics.com/hair-loss-clinic-bhubaneswar,active-permanent,Current hair-loss clinic page,high,Local hair-loss intent is consolidated without unsupported ranking claims.
/post/why-radiance-skin-and-hair-clinic-is-the-ideal-choice-for-hair-loss-treatment,https://www.radianceclinics.com/hair-loss-clinic-bhubaneswar,active-permanent,Canonical hair loss clinic page,high,Consolidates commercial hair loss intent.
/recent-result,https://www.radianceclinics.com/results,active-permanent,Current consent-confirmed results collection,high,Result intent is preserved.
/skin-brightening-solutions-radiance,https://www.radianceclinics.com/pigmentation-treatment-bhubaneswar,active-permanent,Current pigmentation assessment page,high,The current page addresses uneven tone and pigmentation without promising whitening.
/skin-care-treatments,https://www.radianceclinics.com/skin-clinic-bhubaneswar,active-permanent,Equivalent skin clinic and treatment consultation page,high,Broad skin treatment intent is preserved.
/skin-pigmentation,https://www.radianceclinics.com/pigmentation-treatment-bhubaneswar,active-permanent,Equivalent pigmentation assessment page,high,Direct one-hop replacement.
/split-ear-repair,,deferred-verification,No verified current split-ear repair page,none,Confirm clinical scope before rebuilding
/tan-removal,https://www.radianceclinics.com/pigmentation-treatment-bhubaneswar,active-permanent,Current pigmentation consultation pathway,medium,The destination covers diagnosis before treatment selection.
/tattoo-removal-radiance,https://www.radianceclinics.com/tattoo-removal-bhubaneswar,active-permanent,Dedicated doctor-approved laser tattoo removal page,high,Historical tattoo-removal visibility is consolidated on the canonical local page.
/treatment/acne-scars,https://www.radianceclinics.com/acne-scar-treatment-bhubaneswar,active-permanent,Current acne scar assessment pathway,high,Direct one-hop replacement.
/treatment/acne-scars/erbium-fiber-laser,https://www.radianceclinics.com/acne-scar-treatment-bhubaneswar,active-permanent,Current acne-scar assessment page,high,Treatment choice follows scar assessment.
/treatment/acne-scars/fractional-co2-laser,https://www.radianceclinics.com/acne-scar-treatment-bhubaneswar,active-permanent,Current acne-scar assessment page,high,Treatment choice follows scar assessment.
/treatment/acne-treatment,https://www.radianceclinics.com/acne-treatment-bhubaneswar,active-permanent,Current active acne assessment pathway,high,Active acne intent is kept separate from scar treatment.
