filename,category,role,title,alt_text,caption,featured,consent_confirmed,case_id,angle,time_gap,notes
03-before-after/case003/radiance-ba-hair-transplant-case003-front-after.jpg,before_after,front_after,Hair transplant case 003 front after,hair transplant case 003 front after,Hair transplant case 003 front after,no,yes,case003,front,,Verify same patient and exact time gap before publishing.
03-before-after/case003/radiance-ba-hair-transplant-case003-angle-before.jpg,before_after,angle_before,Hair transplant case 003 angle before,hair transplant case 003 angle before,Hair transplant case 003 angle before,no,yes,case003,angle,,Verify same patient and exact time gap before publishing.
03-before-after/case003/radiance-ba-hair-transplant-case003-angle-after.jpg,before_after,angle_after,Hair transplant case 003 angle after,hair transplant case 003 angle after,Hair transplant case 003 angle after,no,yes,case003,angle,,Verify same patient and exact time gap before publishing.
03-before-after/case003/radiance-ba-hair-transplant-case003-top-before.jpg,before_after,top_before,Hair transplant case 003 top before,hair transplant case 003 top before,Hair transplant case 003 top before,no,yes,case003,top,,Verify same patient and exact time gap before publishing.
03-before-after/case003/radiance-ba-hair-transplant-case003-top-after.jpg,before_after,top_after,Hair transplant case 003 top after,hair transplant case 003 top after,Hair transplant case 003 top after,no,yes,case003,top,,Verify same patient and exact time gap before publishing.
03-before-after/case004/radiance-ba-hair-transplant-case004-front-before.jpg,before_after,front_before,Hair transplant case 004 front before,hair transplant case 004 front before,Hair transplant case 004 front before,no,yes,case004,front,,Verify same patient and exact time gap before publishing.
03-before-after/case004/radiance-ba-hair-transplant-case004-front-after.jpg,before_after,front_after,Hair transplant case 004 front after,hair transplant case 004 front after,Hair transplant case 004 front after,no,yes,case004,front,,Verify same patient and exact time gap before publishing.
03-before-after/case004/radiance-ba-hair-transplant-case004-angle-before.jpg,before_after,angle_before,Hair transplant case 004 angle before,hair transplant case 004 angle before,Hair transplant case 004 angle before,no,yes,case004,angle,,Verify same patient and exact time gap before publishing.
03-before-after/case004/radiance-ba-hair-transplant-case004-angle-after.jpg,before_after,angle_after,Hair transplant case 004 angle after,hair transplant case 004 angle after,Hair transplant case 004 angle after,no,yes,case004,angle,,Verify same patient and exact time gap before publishing.
03-before-after/case005/radiance-ba-hair-transplant-case005-front-before.jpg,before_after,front_before,Hair transplant case 005 front before,hair transplant case 005 front before,Hair transplant case 005 front before,no,yes,case005,front,,Verify same patient and exact time gap before publishing.
03-before-after/case005/radiance-ba-hair-transplant-case005-front-after.jpg,before_after,front_after,Hair transplant case 005 front after,hair transplant case 005 front after,Hair transplant case 005 front after,no,yes,case005,front,,Verify same patient and exact time gap before publishing.
03-before-after/case005/radiance-ba-hair-transplant-case005-top-before.jpg,before_after,top_before,Hair transplant case 005 top before,hair transplant case 005 top before,Hair transplant case 005 top before,no,yes,case005,top,,Verify same patient and exact time gap before publishing.
03-before-after/case005/radiance-ba-hair-transplant-case005-top-after.jpg,before_after,top_after,Hair transplant case 005 top after,hair transplant case 005 top after,Hair transplant case 005 top after,no,yes,case005,top,,Verify same patient and exact time gap before publishing.
03-before-after/case006/radiance-ba-hair-transplant-case006-front-before.jpg,before_after,front_before,Hair transplant case 006 front before,hair transplant case 006 front before,Hair transplant case 006 front before,no,yes,case006,front,,Verify same patient and exact time gap before publishing.
03-before-after/case006/radiance-ba-hair-transplant-case006-front-after.jpg,before_after,front_after,Hair transplant case 006 front after,hair transplant case 006 front after,Hair transplant case 006 front after,no,yes,case006,front,,Verify same patient and exact time gap before publishing.
03-before-after/case006/radiance-ba-hair-transplant-case006-angle-before.jpg,before_after,angle_before,Hair transplant case 006 angle before,hair transplant case 006 angle before,Hair transplant case 006 angle before,no,yes,case006,angle,,Verify same patient and exact time gap before publishing.
03-before-after/case006/radiance-ba-hair-transplant-case006-angle-after.jpg,before_after,angle_after,Hair transplant case 006 angle after,hair transplant case 006 angle after,Hair transplant case 006 angle after,no,yes,case006,angle,,Verify same patient and exact time gap before publishing.
03-before-after/case007/radiance-ba-hair-transplant-case007-top-before.jpg,before_after,top_before,Hair transplant case 007 top before,hair transplant case 007 top before,Hair transplant case 007 top before,no,yes,case007,top,,Verify same patient and exact time gap before publishing.
03-before-after/case007/radiance-ba-hair-transplant-case007-top-after.jpg,before_after,top_after,Hair transplant case 007 top after,hair transplant case 007 top after,Hair transplant case 007 top after,no,yes,case007,top,,Verify same patient and exact time gap before publishing.
03-before-after/case007/radiance-ba-hair-transplant-case007-angle-before.jpg,before_after,angle_before,Hair transplant case 007 angle before,hair transplant case 007 angle before,Hair transplant case 007 angle before,no,yes,case007,angle,,Verify same patient and exact time gap before publishing.
03-before-after/case007/radiance-ba-hair-transplant-case007-angle-after.jpg,before_after,angle_after,Hair transplant case 007 angle after,hair transplant case 007 angle after,Hair transplant case 007 angle after,no,yes,case007,angle,,Verify same patient and exact time gap before publishing.
04-awards-recognition/radiance-recognition-anil-kapoor-event-01.jpg,awards_recognition,recognition_event,Recognition moment with Anil Kapoor,Dr Satyarth Prakash at recognition event with Anil Kapoor,Recognition moment from Radiance Clinics,yes,,,,,Do not use as endorsement unless approved.
04-awards-recognition/radiance-recognition-award-ceremony-01.jpg,awards_recognition,award_ceremony,Award ceremony moment,Award ceremony moment featuring Dr Satyarth Prakash,Recognition moment for Radiance Clinics,yes,,,,,
04-awards-recognition/radiance-recognition-award-ceremony-02.jpg,awards_recognition,award_ceremony,Award ceremony trophy moment,Dr Satyarth Prakash holding award on stage,Award ceremony recognition moment,yes,,,,,
04-awards-recognition/radiance-recognition-threebestrated-2025-badge-01.png,awards_recognition,badge,ThreeBestRated Best Business 2025 badge,ThreeBestRated Best Business of 2025 badge for Radiance Skin and Hair Clinic,Best Business of 2025 by ThreeBestRated,yes,,,,,
04-awards-recognition/radiance-recognition-certificate-excellence-01.jpg,awards_recognition,certificate,Certificate of excellence,Recognition badge for Dr Satyarth Prakash and Radiance Skin and Hair Clinic,Recognition certificate image,,,,,,Replace with scanned certificate if available.
05-clinic-ambience/radiance-clinic-exterior-board-01.jpg,clinic_ambience,exterior_board,Clinic exterior board,Exterior board of Radiance Skin and Hair Clinics at dusk,Radiance Skin and Hair Clinics exterior,yes,,,,,
05-clinic-ambience/radiance-clinic-reception-wide-01.jpg,clinic_ambience,reception,Clinic reception wide,Wide view of Radiance Clinics reception area,Reception area at Radiance Clinics,yes,,,,,
05-clinic-ambience/radiance-clinic-waiting-lounge-01.jpg,clinic_ambience,waiting_lounge,Clinic waiting lounge,Waiting lounge at Radiance Skin and Hair Clinics,Waiting lounge at Radiance Clinics,,,,,,
05-clinic-ambience/radiance-clinic-interior-wide-01.jpg,clinic_ambience,interior_wide,Clinic interior wide,Premium interior design of Radiance Clinics,Premium clinic interior,,,,,,
05-clinic-ambience/radiance-clinic-consultation-room-01.jpg,clinic_ambience,consultation_room,Clinic consultation room,Consultation room at Radiance Clinics,Consultation room at Radiance Clinics,,,,,,
05-clinic-ambience/radiance-clinic-treatment-room-01.jpg,clinic_ambience,treatment_room,Clinic treatment room,Treatment room with medical equipment at Radiance Clinics,Treatment room at Radiance Clinics,,,,,,
05-clinic-ambience/radiance-clinic-happy-patient-01.jpg,clinic_ambience,happy_patient,Happy patient at Radiance Clinics,Doctor with a happy patient at Radiance Skin and Hair Clinics,Patient trust at Radiance Clinics,,,,,,
06-equipment/radiance-equipment-treatment-room-wide-01.jpg,equipment,treatment_room_wide,Treatment room equipment wide,Treatment room with aesthetic equipment at Radiance Clinics,Aesthetic treatment technology at Radiance Clinics,,,,,,
06-equipment/radiance-equipment-machine-cluster-01.jpg,equipment,machine_cluster,Equipment machine cluster,Multiple clinical treatment machines inside Radiance Clinics,Clinical technology setup,,,,,,
06-equipment/radiance-equipment-laser-machines-01.jpg,equipment,laser_machines,Laser and aesthetic machines,Laser and aesthetic equipment at Radiance Clinics,Advanced equipment at Radiance Clinics,,,,,,
06-equipment/radiance-equipment-procedure-room-01.jpg,equipment,procedure_room,Procedure room equipment,Procedure room equipment in Radiance Clinics,Procedure room equipment,,,,,,
07-social-media/radiance-social-hair-transplant-collage-01.jpg,social_media,before_after_collage,Hair transplant social collage 01,Before and after hair transplant collage from Radiance Clinics,Hair transplant transformation collage,,yes,,,,Use after final consent and medical review.
07-social-media/radiance-social-hair-transplant-collage-02.jpg,social_media,before_after_collage,Hair transplant social collage 02,Before and after hair transplant collage from Radiance Clinics,Hair transplant transformation collage,,yes,,,,Use after final consent and medical review.
07-social-media/radiance-social-recognition-post-01.jpg,social_media,recognition_post,Recognition social media post,Recognition event photograph for Radiance Clinics social media,Recognition moment for Radiance Clinics,yes,,,,,
07-social-media/radiance-social-consultation-post-01.jpg,social_media,consultation_post,Consultation social media post,Consultation image for Radiance Clinics social media,Doctor-led consultation at Radiance Clinics,,,,,,
08-logo-brand/radiance-brand-threebestrated-badge-01.png,logo_brand,badge,ThreeBestRated badge brand asset,ThreeBestRated badge for Radiance Clinics,Recognition badge brand asset,,,,,,
08-logo-brand/radiance-brand-recognition-badge-01.png,logo_brand,recognition_badge,Recognition badge brand asset,Recognition badge for Dr Satyarth Prakash and Radiance Skin and Hair Clinic,Recognition badge asset,,,,,,
